Description,Ticker,Field ID,Field Mnemonic,Data State,Nov-23,Oct-23,Sep-23,Aug-23,Jul-23,Jun-23,May-23,Apr-23,Mar-23,Feb-23,Jan-23,Dec-22,Nov-22,Oct-22,Sep-22,Aug-22,Jul-22,Jun-22,May-22,Apr-22,Mar-22,Feb-22,Jan-22,Dec-21,Nov-21,Oct-21,Sep-21,Aug-21,Jul-21,Jun-21,May-21,Apr-21,Mar-21,Feb-21,Jan-21,Dec-20,Nov-20,Oct-20,Sep-20,Aug-20,Jul-20,Jun-20,May-20,Apr-20,Mar-20,Feb-20,Jan-20,Dec-19,Nov-19,Oct-19,Sep-19,Aug-19,Jul-19,Jun-19,May-19,Apr-19,Mar-19,Feb-19,Jan-19,Dec-18,Nov-18,Oct-18,Sep-18,Aug-18,Jul-18,Jun-18,May-18,Apr-18,Mar-18,Feb-18,Jan-18,Dec-17,Nov-17,Oct-17,Sep-17,Aug-17,Jul-17,Jun-17,May-17,Apr-17,Mar-17,Feb-17,Jan-17,Dec-16
Monthly Boeing/Airbus Orders (Units).,,,,Heading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narrowbody Unit Orders,,,,Sum,,83,13,87,49,835,,1,-1,65,36,-21,12,163,8,,399,50,9,92,91,86,-14,130,227,-8,1,94,-5,68,2,26,20,-80,,-5,-11,8,-3,1,4,,,9,25,,265,49,142,403,20,16,-37,145,1,,3,-21,-5,375,37,66,37,5,,48,9,62,2,20,15,767,45,17,40,10,-2,132,30,6,14,-6,1,261
    Airbus,AIR FP Equity,BI047,BICS_SEGMENT_DATA,Dynamic,,83,13,87,49,835,0,1,-1,65,36,-21,12,163,8,0,399,50,9,92,91,86,-14,130,227,-8,1,94,-5,68,2,26,20,-80,0,-5,-11,8,-3,1,4,0,0,9,25,0,265,49,142,403,20,16,-37,145,1,0,3,-21,-5,375,37,66,37,5,0,48,9,62,2,20,15,767,45,17,40,10,-2,132,30,6,14,-6,1,261
    Boeing,BA US Equity,BI047,BICS_SEGMENT_DATA,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Widebody Unit Orders,,,,Sum,,12,67,7,40,75,3,18,14,23,22,115,6,16,46,-2,-3,13,17,3,-60,-14,20,32,16,,15,21,10,20,9,9,-4,23,-4,-18,2,,,,,,5,,4,13,4,-2,25,19,14,6,59,9,-1,,77,-60,10,14,10,24,26,4,20,75,32,26,,8,,19,16,12,27,2,13,78,30,13,13,1,19,68
    Boeing,BA US Equity,BI047,BICS_SEGMENT_DATA,Dynamic,,12,67,7,40,75,3,18,14,0,22,99,3,16,44,17,0,-5,13,0,3,1,22,23,0,0,15,16,10,19,7,9,-4,24,-4,6,2,0,0,0,0,1,5,0,13,13,0,-2,-9,7,2,6,31,9,-1,0,40,4,18,22,7,6,26,4,12,28,16,47,,,,10,16,12,11,2,9,80,10,2,13,5,18,8
    Airbus,AIR FP Equity,BI047,BICS_SEGMENT_DATA,Dynamic,,,,,,,,,,23,0,16,3,0,2,-19,-3,18,4,3,-63,-15,-2,9,16,0,0,5,0,1,2,0,0,-1,0,-24,0,0,0,0,0,-1,0,0,-9,0,4,0,34,12,12,0,28,0,0,0,37,-64,-8,-8,3,18,0,0,8,47,16,-21,0,8,0,9,0,0,16,0,4,-2,20,11,0,-4,1,60
,,,,Static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airline 5yr CDS,,,,Average,230.6118792,269.7408342,238.0468758,216.3333338,202.7654167,216.0291667,242.9502083,263.9897917,259.0143763,227.053125,245.8072917,315.3791667,300.4702121,337.7383333,413.0129083,387.8291667,402.8075,423.4679167,316.446875,296.3264583,284.0316667,255.3158333,246.42625,234.400625,251.6397917,227.5664583,227.0125,225.3920833,222.3604167,199.9075,212.55,225.2570833,245.0347917,256.2710417,304.5245833,289.2691667,321.595625,595.5883333,533.6321875,519.9114583,775.6929792,602.3073958,615.4870833,597.0670833,395.7632292,179.8255208,125.0460417,109.4810429,112.8038542,123.8041667,128.3133333,117.033125,114.2451042,124.8139575,137.9803125,136.235,145.4873958,131.8297917,141.4566667,166.1695833,146.9430208,150.1625,148.5489596,148.8283327,150.1956238,160.5558333,152.4636458,139.5396875,126.6352083,120.9986446,121.5917708,136.1855208,139.70125,146.3659369,149.5972917,149.5671875,152.9364583,157.9226035,162.7439583,176.7781256,183.7596869,198.52625,202.4259375,209.5151042
    North America,,,,Average,501.83085,585.5341667,509.9941667,446.258335,417.8741667,429.6175,501.4083333,566.3441667,551.9933333,467.9541667,489.3316667,662.4333333,580.0858483,632.3666667,818.9658333,782.9208333,758.61,883.3258333,604.645,544.3191667,553.6283333,452.905,453.4858333,404.9916667,436.465,398.89,405.8033333,400.2591667,392.1725,348.6233333,361.9525,402.1825,443.2608333,472.2058333,596.7891667,612.45,723.8316667,1461.423333,1252.34,1231.008333,2204.113167,1551.388333,1459.843333,1477.860833,709.5641667,252.4983333,120.2116667,90.08166667,88.68166667,104.7566667,125.7583333,116.555,102.5041667,122.218335,157.0675,148.51,176.9383333,154.8691667,161.7041667,206.8558333,162.3708333,175.2725,158.0108333,161.9208333,170.45,196.8958333,184.8383333,181.8675,165.7933333,144.3083333,148.1658333,171.7833333,170.5275,175.5725,173.3841667,171.615,171.4458333,175.8391667,179.0783333,220.59,228.175,258.445,238.5225,262.5516667
        Delta Airlines,CDAL1U5 CMAN Curncy,PR005,PX_LAST,Dynamic,220.995,276.6,225.82,177.295,161.525,174.93,229.595,259.415,287.825,247.54,248.88,372.135,343.215,368.77,542.485,503.165,455.84,583.12,366.615,306.845,324.5,272.305,260.545,221.885,264.05,230.14,230.52,236.81,264.19,233.455,234.395,251.15,291.365,277.965,348.12,364.1,414.095,635.42,699.07,693.53,748.11,783.92,853.97,922.375,701.395,134.98,78.845,73,75.005,89.66,98.635,89.665,86.28,98.23,115.6,105.675,117.83,110.52,110.155,127.38,103.025,104.505,100.165,106.045,104.99,122.435,119.57,126.455,114.94,101.19,110.265,113.23,105.24,104.07,101.705,96.77,100.205,105,110.12,108.17,118.755,182.83,196.09,201.22
        Continental Airlines,CT355324 CMAN Curncy,PR005,PX_LAST,Dynamic,646.54,715.09,623.215,515.22,474.05,520.13,595.91,683.83,673.095,531.43,561.065,700.49,610.75,639.88,934.56,846.325,828.655,981.245,638.92,591.275,617.705,466.82,480.185,417.705,438.795,430.57,436.065,434.95,408.425,360.975,368.48,408.065,438.57,470.07,603.235,571.5,625.71,937.6,837.28,792.755,916.535,996.43,1329.865,1243.96,759.01,348.815,151.95,98.305,90.515,112.68,135.465,128.87,107.475,131.425,178.195,170.545,208.695,168.96,185.985,254.245,194.395,220.475,190.14,195.04,203.005,250.065,241.105,233.63,220.05,188.06,196.35,252.425,258.12,260.835,253.34,268.17,268.975,269.28,272.27,430.125,425.92,464.65,307.235,364.395
        United Continental Airlines,CY003677 CMAN Curncy,PR005,PX_LAST,Dynamic,641.95,796.74,662.115,585.495,541.7,544.005,664.69,765.245,730.99,601.705,630.015,912.23,766.1,817.16,1123.695,1151.735,1096.185,1273.79,805.175,763.545,772.83,601.5,606.855,519.515,548.78,544.16,548.48,538.195,510.88,445.785,452.425,485.7,531.895,526.225,756.135,752.54,739.59,1361.905,1183.44,1146.005,1286.975,1403.945,1861.75,1757.59,1098.245,437.3,190.935,123.31,113.155,141.195,169.71,160.3,127.54,155.87,211.16,202.2,247.15,198.61,218.605,298.665,206.385,234.12,202.135,204.91,213.23,262.335,253.06,245.38,231.265,197.62,206.42,265.09,261.53,264.165,256.615,271.125,272.015,284.025,288.035,307.185,301.695,313.175,303.295,359.33
        American Airlines,CAMR1U5 CMAN Curncy,PR005,PX_LAST,Dynamic,818.095,1008.7,864.98,740.83,669.85,688.22,844.275,1006.605,943.59,755.49,831.85,1309.805,1101.385,1287.48,1603.3,1504.76,1490.255,1731.795,1129.365,984.785,1048.525,848.77,846.575,783.21,845.075,710.535,746.045,754.72,728.79,625.52,682.95,786.37,921.54,924.675,1211.69,1329.29,1868.165,5020.365,3905.575,3847.88,9277.564,5761.06,4277.26,4461.085,1368.48,422.39,199.15,152.075,155,184.13,231.985,191.52,173.61,215.92,272.05,256.915,316.17,295.285,296.68,385.15,312.935,335.965,318.25,315.995,348.925,364.51,312.49,296.76,261.55,234.54,230.83,260.32,256.6,271.425,274.56,255.77,252.44,260.55,261.32,313.15,345.1,370,385,392.705
        Southwest Airlines,CLUV1U5 CMAN Curncy,PR005,PX_LAST,Dynamic,120.725,151.79,120.055,94.08501,96.77,92.7,109.795,118.775,112.49,106.245,100.045,115.805,94.38499,115.76,144.88,132.005,124.73,171.07,130.155,123.91,123.28,92.035,93.905,95,105.45,84.995,88.81,82.96,86.87,72.565,79.245,78.46,88.055,79.69,104.59,94.56,95.425,143.66,155.81,175.555,210.77,214.17,290.375,324.265,151.97,73.79,37.275,33.11,35.64,37.305,44.53,41.41,44.53,48.125,60.115,55.485,61.19,50.45,53.6,65.15,57.975,54.525,43.92,46.11,50.55,60.63,66.045,62.6,54.445,45.475,36.04,29.705,37.135,47.525,52,41.15,37.74,33.98,39.365,46.87,49.455,40.695,50.815,54.5
        Jet Blue Airlines,CT369308 CMAN Curncy,PR005,PX_LAST,Dynamic,562.6801,564.285,563.78,564.625,563.35,557.72,564.185,564.195,563.97,565.315,564.135,564.135,564.6801,565.15,564.875,559.535,555.995,558.935,557.64,495.555,434.93,436,432.85,392.635,416.64,392.94,384.9,353.92,353.88,353.44,354.22,403.35,388.14,554.61,556.965,562.71,600.005,669.59,732.865,730.325,784.725,148.805,145.84,157.89,178.285,97.715,63.115,60.69,62.775,63.57,74.225,87.565,75.59,83.74001,105.285,100.24,110.595,105.39,105.2,110.545,99.51,102.045,93.455,103.425,102,121.4,116.76,126.38,112.51,98.965,109.09,109.93,104.54,105.415,102.085,96.705,97.3,102.2,103.36,118.04,128.125,179.32,188.7,203.16
    Europe,,,,Average,212.2216667,257.75167,241.3083367,234.875,207.55,232.3016667,251.73,272.08,258.3316667,233.5033333,279.135,350.4033333,342.105,387.0116667,490.4733,433.2583333,472.985,441.2233333,324.855,339.1166667,292.6433333,260.0283333,235.6716667,256.7433333,265.9266667,233.2133333,215.8966667,218.8616667,214.7716667,205.8016667,232.99,240.7883333,253.7083333,266.3533333,307.7866667,248.4216667,251.0683333,527.4875,452.10625,375.1625,396.27125,335.61625,369.09,378.4925,305.30375,249.42875,200.4525,176.2575,182.37625,190.08,178.9125,156.41,158.38125,166.385,177.23125,149.44,159.73625,136.86,155.7325,191.2925,176.90375,188.2675,180.3425,178.3674975,170.005,196.925,194.17875,162.50875,164.18,168.28875,154.31875,171.01875,180.27,214.6362475,227.9775,232.11125,238.995,250.3787475,271.7,288.9750025,299.6112475,319.7675,333.63625,326.69375
        Air France-KLM,CAFR1E5 CMAN Curncy,PR005,PX_LAST,Dynamic,354.045,436.265,413.645,413.57,344.42,415.455,459.935,500.46,479.05,418.82,531.845,679.565,665.09,696.495,868.0699,751.22,858.545,745.28,557.285,616.58,532.385,463.46,415.58,457.305,412.885,417.495,381.72,352.56,342.675,321.005,381.215,385.165,417.365,444.935,548.55,431.365,439.34,955.97,783.06,583.37,610.215,467.245,585.715,593.9,487.775,424.955,281.09,209.35,213.3,226.275,225.7,196.38,218.16,248.105,288.84,213.15,254.67,202.54,202.075,293.965,267.51,301.18,284.795,285.775,280.82,358.185,358.625,249.805,210.55,193.865,156.925,178.495,181.32,175.335,201.13,205.335,223.385,265.7,309.56,357.975,336.73,371.58,380,321.44
        British Airways PLC,CBAB1E5 CMAN Curncy,PR005,PX_LAST,Dynamic,89.06,87.61501,78.49001,73.445,74.67,74.35,73.49,73.215,71.835,61.96,61.425,59.86,60,57.17,61,55.405,60.27,56.155,48.005,39.995,38.26,39.28,41.69,42.18,43.67,42.05,43.275,39.25,40.965,41.11,42.165,44.23,37.855,30.205,31.375,30.575,34.125,42.805,40.73,30.72,29.625,30.07,29.925,29.825,31.385,31.94,32.495,29.92,31.595,31.095,33.35,34.47,34.605,35.705,38.335,39.69,41.265,38.36,44.63,49.535,51.475,61.825,62.875,64.275,68.395,73.605,75,73.61,74.89,71.73,68.47,73.42,72.87,70.77499,74.925,72.425,72.21,70.86,77.73,89.85001,99.89999,113.11,100,106.5
        Deutsche Lufthansa AG,CLUFT1E5 CMAN Curncy,PR005,PX_LAST,Dynamic,193.56,249.375,231.79,217.61,203.56,207.1,221.765,242.565,224.11,219.73,244.135,311.785,301.225,407.37,542.35,493.15,500.14,522.235,369.275,360.775,307.285,277.345,249.745,270.745,341.225,240.095,222.695,264.775,260.675,255.29,275.59,292.97,305.905,323.92,343.435,283.325,279.74,402.325,400.875,296.57,351.17,312.28,362.99,397.68,239.65,108.31,73.225,53.2,59.115,68.655,74.77,67.805,64.14,64.17,67.81,58.825,54.58,48.195,56.93,80.315,85.47,91.795,82.64,79.02499,72.29,84,76.87,64.455,61.63,50.4,42.14,44.845,48.425,58.485,65.51,73.99,71.155,75.00999,85.195,95.925,111.175,120.58,133.47,149.5
        SAS AB,CSAS1E5 CMAN Curncy,PR005,PX_LAST,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708.85,583.76,589.99,594.075,532.87,497.73,492.565,462.405,432.51,415,412.56,425.495,434.295,381.83,326.985,316.62,317.56,313.94,286.095,288.43,258.345,319.295,341.355,303.16,298.27,291.06,284.395,258.515,271.91,266.22,262.165,309.65,357.16,349.74,387.315,418.465,553.95,570.345,576.695,589.23,589.945,614.315,612.15,650.64,673.8,721.075,729.335
    Asia,,,,Average,101.055,109.2225,99.535,94.155,88.1575,98.6625,100.8775,108.325,112.432505,105.88,103.4575,131.42,137.895,160.875,174.1125,168.3675,185.79,192.6325,156.7925,150.85,144.345,149.105,141.6625,129.8725,129.6125,106.4575,108.3,107.6575,106.5425,104.605,110.5725,117.0325,119.485,121.445,132.9725,119.3,125.1625,163.6175,176.1725,177.07,173.6075,158.865,217.16,210.845,245.25,64.03,51.23,51.350005,53.5875,56.05,58.0675,54.5325,55.4,60.187495,64.3325,57.445,62.325,61.855,72.625,87.15,75.1625,69.67,67.347505,64.87,67.987495,67.1725,64.0725,62.9475,62.3825,57.212495,58.5125,62.32,64.3675,64.825,66.4675,66.1025,70.79,74.9975,81.8675,83.3075,83.8125,81.3025,93.75,94.855
        All Nipon Airways,CANA1J5 CMAN Curncy,PR005,PX_LAST,Dynamic,55.42,61.19,57.57,54.69,48.23,53.44,55.925,66.98,72.22501,63.99,59.07,78.44,86.74,115.39,151.94,148.825,169.19,188.755,130.4,126.54,117.26,125.005,121.025,99.635,107.125,56.735,60.47,57.265,56.39,51.285,65.9,78.425,82.21,85.53,102.6,87.185,92.39,133.96,139.755,155.345,145,121.515,144.305,128.665,145,42.845,30.225,29.085,32.11,33.65,32.675,28.94,30.375,32.225,35.78,30.715,34.945,35.635,39.94,53.405,39.495,37.205,34.735,36.47,37.575,35.61,35.505,37.415,36.055,34.665,35.355,36.365,36.53,36.36,36.39,36.26,34.365,34.5,35.84,39.88,40.625,37,38.5,35
        Japan Airlines Corp,CJAL1J5 CBGN Curncy,PR005,PX_LAST,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Qantas Airways,CQTAS1U5 CMAN Curncy,PR005,PX_LAST,Dynamic,146.69,157.255,141.5,133.62,128.085,143.885,145.83,149.67,152.64,147.77,147.845,184.4,189.05,206.36,196.285,187.91,202.39,196.51,183.185,175.16,171.43,173.205,162.3,160.11,152.1,156.18,156.13,158.05,156.695,157.925,155.245,155.64,156.76,157.36,163.345,151.415,157.935,193.275,212.59,198.795,202.215,196.215,290.015,293.025,345.5,85.215,72.235,73.61501,75.065,78.45,83.46,80.125,80.425,88.14999,92.885,84.175,89.705,88.075,105.31,120.895,110.83,102.135,99.96001,93.27,98.39999,98.735,92.64,88.48,88.71,79.75999,81.67,88.275,92.205,93.29,96.545,95.945,107.215,115.495,127.895,126.735,127,125.605,149,154.71
    Middle East / Africa,,,,Average,107.34,126.455,101.35,90.045,97.48,103.535,117.785,109.21,113.3,100.875,111.305,117.26,141.795,170.7,168.5,166.77,193.845,176.69,179.495,151.02,145.51,159.225,154.885,145.995,174.555,171.705,178.05,174.79,175.955,140.6,144.685,141.025,163.685,165.08,180.55,176.905,186.32,229.825,253.91,296.405,328.78,363.36,415.855,321.07,322.935,153.345,128.29,120.235,126.57,144.33,150.515,140.635,140.695,150.465,153.29,189.545,182.95,173.735,175.765,179.38,173.335,167.44,188.495,190.155,192.34,181.23,166.765,150.835,114.185,114.185,125.37,139.62,143.64,130.43,130.56,128.44,130.515,130.475,118.33,114.24,123.44,134.59,143.795,153.96
        Emirates Airline,CT975941 CMAN Curncy,PR005,PX_LAST,Dynamic,107.34,126.455,101.35,90.045,97.48,103.535,117.785,109.21,113.3,100.875,111.305,117.26,141.795,170.7,168.5,166.77,193.845,176.69,179.495,151.02,145.51,159.225,154.885,145.995,174.555,171.705,178.05,174.79,175.955,140.6,144.685,141.025,163.685,165.08,180.55,176.905,186.32,229.825,253.91,296.405,328.78,363.36,415.855,321.07,322.935,153.345,128.29,120.235,126.57,144.33,150.515,140.635,140.695,150.465,153.29,189.545,182.95,173.735,175.765,179.38,173.335,167.44,188.495,190.155,192.34,181.23,166.765,150.835,114.185,114.185,125.37,139.62,143.64,130.43,130.56,128.44,130.515,130.475,118.33,114.24,123.44,134.59,143.795,153.96
,,,,Static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stored Fleet,,,,Heading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of Total Fleet Stored,,,,Heading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
