Description,Ticker,Field ID,Field Mnemonic,Data State,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Defense Budgets (in Bn $USD).,,,,Heading,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Dept of Defense Budget (incl. OCO).,,,,Heading,,,,,,,,,,,,,,,,,,,,,,,,,
Defense Budget Fiscal Year.,,,,Static,,,,,,,,,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Total Budget Authority (Account 051),,,,Static,290.5,309.9,345.6,437.9,471,483.9,536.5,603,673.5,664.5,695.7,690.8,655.4,585.4,586.9,581.3,592.3,590.578,646.929,695.091,723.224,703.723,715,773,842
    Operation and Maintenance,,,,Static,108.8,115.8,133.9,178.3,189.8,179.2,213.5,240.3,256.2,271.6,293.6,305.2,286.8,258.4,263.2,199.4,250.8,251.84,272.966,284.553,300.401,283.395,290.361,309.343,329.7
    Procurement,,,,Static,55,62.6,62.7,78.5,83.1,96.6,105.4,133.8,165,135.4,135.8,131.9,118.3,97.8,99.5,90.4,115,112.247,125.414,144.545,140.711,141.672,133.64,145.939,170
"    Research, Development, Test, and Evaluation",,,,Static,38.7,41.6,48.7,58.1,64.6,68.8,72.9,77.5,79.6,80,80.2,76.7,72,63.3,62.9,63.5,70,72.129,83.658,92.634,104.963,106.447,111.964,130.097,145
    Other,,,,Static,78.9,82.3,93.6,115.7,122.2,128.5,138,145.7,161.1,176.1,179.7,174.4,169.7,153.3,151.3,140.9,150.2,154.362,164.891,173.359,177.149,172.209,179.034,187.62,197.3
    NOTE: U.S. budgets are placed in column,,,,Heading,,,,,,,,,,,,,,,,,,,,,,,,,
    corresponding to the year of request; the request,,,,Heading,,,,,,,,,,,,,,,,,,,,,,,,,
    is for the following fiscal year (e.g. 2018 budget,,,,Heading,,,,,,,,,,,,,,,,,,,,,,,,,
"    in column 2018, is for FY2019)",,,,Heading,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Budget Year Forward Oct. to Sept.,,,,Heading,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Budget Forecast,,,,Heading,,,,,,,,,,,,,,,,,,,,,,,,,
    2012 Budget,,,,Static,,,,,,,,,,,,620.091,,,,,,,,,,,,,
    2013 Budget,,,,Static,,,,,,,,,,,,635.671,625.523,,,,,,,,,,,,
    2014 Budget,,,,Static,,,,,,,,,,,,651.831,641.308,539.669,,,,,,,,,,,
    2015 Budget,,,,Static,,,,,,,,,,,,670.212,653.185,551.975,540.839,,,,,,,,,,
    2016 Budget,,,,Static,,,,,,,,,,,,,665.609,561.97,551.369,541.422,,,,,,,,,
    2017 Budget,,,,Static,,,,,,,,,,,,,,573.333,559.967,549.938,554.605,,,,,,,,
    2018 Budget,,,,Static,,,,,,,,,,,,,,,568.571,557.834,563.758,564.69,,,,,,,
    2019 Budget,,,,Static,,,,,,,,,,,,,,,,565.585,571.857,572.862,646.543,,,,,,
    2020 Budget,,,,Static,,,,,,,,,,,,,,,,,577.582,578.203,646.134,710.765,,,,,
    2021 Budget,,,,Static,,,,,,,,,,,,,,,,,,593.129,643.91,723.306,723.818,,,,
    2022 Budget,,,,Static,,,,,,,,,,,,,,,,,,,642.618,736.852,737.232,721.902,,,
    2023 Budget,,,,Static,,,,,,,,,,,,,,,,,,,,750.994,751.674,737.063,,,
    2024 Budget,,,,Static,,,,,,,,,,,,,,,,,,,,,756.927,752.6,,801,
    2025 Budget,,,,Static,,,,,,,,,,,,,,,,,,,,,,768.334,,809,
    2026 Budget,,,,Static,,,,,,,,,,,,,,,,,,,,,,,,822,
    2027 Budget,,,,Static,,,,,,,,,,,,,,,,,,,,,,,,828,
Source: National Defense Budget Estimates (Green Book),,,,Heading,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Static,,,,,,,,,,,,,,,,,,,,,,,,,